Soalr_date,open,high,low,close,change
1404-11-14,3440,3501,3376,3477,1.05%
1404-11-13,3437,3444,3370,3444,2.99%
1404-11-12,3441,3382,3260,3382,2.98%
1404-11-11,3344,3429,3261,3261,-2.98%
1404-11-08,3284,3414,3357,3362,-2.83%
1404-11-07,3361,3460,3460,3460,-3.00%
1404-11-06,3460,3567,3567,3567,-2.99%
1404-11-05,3567,3677,3677,3677,-2.98%
1404-11-04,3677,3830,3790,3790,-2.99%
1404-11-01,3790,3992,3873,3905,-2.18%
1404-10-30,3907,4058,3967,3968,-2.96%
1404-10-29,3992,4253,4058,4058,-2.99%
1404-10-28,4089,4327,4122,4172,-0.97%
1404-10-24,4183,4213,4213,4213,-2.99%
1404-10-23,4213,4490,4309,4309,-2.99%
1404-10-22,4343,4479,4381,4430,1.86%
1404-10-21,4442,4402,4254,4378,2.43%
1404-10-20,4349,4409,4225,4225,-2.99%
1404-10-17,4274,4357,4248,4357,2.98%
1404-10-16,4355,4231,4231,4231,2.99%
1404-10-15,4231,4108,4051,4108,2.98%
1404-10-14,4108,4170,3934,4010,-1.11%
1404-10-10,3989,4131,3959,4131,2.99%
1404-10-09,4055,4020,4011,4011,-3.00%
1404-10-08,4011,4269,4021,4114,-0.75%
1404-10-07,4135,4162,4010,4162,2.99%
1404-10-06,4145,4095,3970,4016,1.01%
1404-10-03,4041,3984,3935,3984,3.00%
1404-10-02,3976,3925,3807,3887,1.25%
1404-10-01,3868,3915,3781,3825,-1.54%
1404-09-30,3839,3944,3825,3874,-0.41%
1404-09-29,3885,3896,3844,3896,2.99%
1404-09-26,3890,3826,3720,3784,-0.99%
1404-09-25,3783,3887,3683,3720,-1.43%
1404-09-24,3822,3779,3705,3779,3.00%
1404-09-23,3774,3700,3511,3698,2.92%
1404-09-22,3669,3594,3550,3594,2.98%
1404-09-19,3593,3496,3411,3496,2.97%
1404-09-18,3490,3437,3357,3395,1.56%
1404-09-17,3395,3409,3264,3380,2.11%
1404-09-16,3343,3400,3270,3270,-3.00%
1404-09-15,3310,3410,3321,3355,1.21%
1404-09-12,3371,3342,3264,3317,2.22%
1404-09-11,3315,3277,3227,3229,-0.55%
1404-09-10,3245,3266,3209,3246,2.37%
1404-09-09,3247,3219,3102,3213,0.50%
1404-09-08,3171,3261,3150,3171,-1.49%
1404-09-05,3197,3289,3191,3215,-2.25%
1404-09-04,3219,3292,3253,3292,2.97%
1404-09-02,3289,3203,3113,3203,2.99%
1404-09-01,3197,3148,3074,3086,0.82%
1404-08-28,3110,3095,3037,3070,0.72%
1404-08-27,3061,3094,3015,3045,-1.01%
1404-08-26,3048,3135,3021,3039,-0.78%
1404-08-25,3076,3100,3006,3090,1.38%
1404-08-24,3063,3088,3018,3038,-0.98%
1404-08-21,3048,3109,3032,3076,-1.06%
1404-08-20,3068,3143,3052,3066,0.46%
1404-08-19,3109,3092,2981,3088,2.86%
1404-08-18,3052,3002,3002,3002,-2.97%
1404-08-17,3002,3112,3037,3047,0.83%
1404-08-14,3094,3087,2973,3078,0.75%
1404-08-13,3022,3120,3038,3038,-2.97%
1404-08-12,3055,3137,3068,3133,2.86%
1404-08-11,3131,3067,2975,3067,2.99%
1404-08-10,3046,2980,2950,2980,2.97%
1404-08-07,2978,2894,2894,2894,2.99%
1404-08-06,2894,2825,2748,2825,2.99%
1404-08-05,2810,2759,2685,2759,2.99%
1404-08-04,2743,2730,2640,2685,1.05%
1404-08-03,2679,2669,2657,2659,-2.92%
1404-07-30,2657,2775,2701,2772,2.21%
